"Season","TTO%","wRC+"
"1930","14.5%","94"
"1931","16.0%","94"
"1932","14.3%","94"
"1933","15.1%","94"
"1934","16.6%","93"
"1935","15.6%","94"
"1936","16.5%","93"
"1937","16.5%","93"
"1938","16.3%","94"
"1939","16.8%","93"
"1940","17.0%","94"
"1941","17.3%","93"
"1942","16.2%","93"
"1943","15.6%","94"
"1944","15.4%","94"
"1945","15.8%","94"
"1946","17.5%","93"
"1947","17.5%","93"
"1948","18.1%","94"
"1949","21.5%","93"
"1950","22.4%","93"
"1951","21.3%","94"
"1952","22.0%","92"
"1953","22.0%","93"
"1954","22.2%","93"
"1955","23.2%","94"
"1956","23.9%","94"
"1957","23.4%","93"
"1958","24.0%","93"
"1959","24.3%","93"
"1960","24.6%","93"
"1961","25.2%","92"
"1962","25.3%","93"
"1963","25.4%","93"
"1964","25.7%","93"
"1965","26.1%","92"
"1966","25.4%","93"
"1967","25.8%","93"
"1968","25.1%","93"
"1969","26.3%","93"
"1970","26.5%","93"
"1971","24.8%","93"
"1972","25.0%","93"
"1973","24.6%","96"
"1974","23.6%","97"
"1975","23.8%","96"
"1976","22.6%","97"
"1977","24.2%","97"
"1978","23.0%","97"
"1979","23.1%","97"
"1980","22.6%","97"
"1981","22.6%","97"
"1982","23.5%","97"
"1983","24.0%","97"
"1984","24.3%","97"
"1985","24.9%","97"
"1986","26.6%","97"
"1987","27.1%","97"
"1988","24.8%","97"
"1989","25.2%","97"
"1990","25.6%","97"
"1991","26.0%","97"
"1992","25.1%","97"
"1993","26.0%","97"
"1994","27.5%","97"
"1995","27.9%","96"
"1996","28.4%","97"
"1997","28.6%","96"
"1998","28.4%","96"
"1999","28.8%","96"
"2000","29.1%","96"
"2001","28.7%","96"
"2002","28.2%","96"
"2003","27.7%","96"
"2004","28.4%","96"
"2005","27.3%","96"
"2006","28.1%","96"
"2007","28.2%","97"
"2008","28.8%","96"
"2009","29.5%","96"
"2010","29.5%","96"
"2011","29.2%","96"
"2012","30.4%","96"
"2013","30.3%","96"
"2014","30.3%","96"
"2015","30.7%","97"
"2016","32.3%","97"
"2017","33.5%","96"
"2018","33.7%","97"
"2019","35.1%","97"
"2020","36.1%","100"
"2021","35.1%","97"
"2022","33.4%","100"
