Season,Name,Team,wRCplus,TTO,playerid,new_TTO
2021,A.J. Pollock,LAD,137,31.0%,9256,3100
2022,A.J. Pollock,CHW,92,27.3%,9256,2730
2022,Aaron Judge,NYY,207,50.0%,15640,5000
2021,Aaron Judge,NYY,149,43.0%,15640,4300
2021,Abraham Toro,- - -,94,25.6%,19844,2560
2022,Abraham Toro,SEA,62,27.6%,19844,2760
2021,Adam Duvall,- - -,103,44.5%,10950,4450
2022,Adam Duvall,ATL,87,42.5%,10950,4250
2021,Adam Frazier,- - -,113,19.1%,15223,1910.0000000000002
2022,Adam Frazier,SEA,81,20.3%,15223,2030
2022,Adolis Garcia,TEX,112,38.1%,19287,3810
2021,Adolis Garcia,TEX,99,41.3%,19287,4130
2022,Alec Bohm,PHI,98,24.4%,21618,2440
2021,Alec Bohm,PHI,75,35.7%,21618,3570.0000000000005
2021,Aledmys Diaz,HOU,97,27.0%,15937,2700
2022,Aledmys Diaz,HOU,96,25.4%,15937,2540
2022,Alex Bregman,HOU,136,28.5%,17678,2850
2021,Alex Bregman,HOU,114,27.3%,17678,2730
2021,Alex Verdugo,BOS,107,26.5%,17027,2650
2022,Alex Verdugo,BOS,103,21.6%,17027,2160
2021,Amed Rosario,CLE,99,27.6%,15518,2760
2022,Amed Rosario,CLE,103,21.9%,15518,2190
2022,Andrew Benintendi,- - -,122,25.7%,17901,2570
2021,Andrew Benintendi,KCR,105,27.9%,17901,2790
2021,Andrew McCutchen,PHI,108,41.8%,9847,4180
2022,Andrew McCutchen,MIL,98,34.1%,9847,3410
2022,Andrew Vaughn,CHW,113,25.9%,26197,2590
2021,Andrew Vaughn,CHW,93,33.5%,26197,3350
2022,Anthony Rizzo,NYY,132,34.9%,3473,3490
2021,Anthony Rizzo,- - -,113,28.0%,3473,2800
2022,Anthony Santander,BAL,120,32.5%,14551,3250
2021,Anthony Santander,BAL,92,32.4%,14551,3240
2021,Austin Hays,BAL,106,29.7%,19363,2970
2022,Austin Hays,BAL,105,28.2%,19363,2820
2021,Austin Hedges,CLE,40,35.9%,12976,3590
2022,Austin Hedges,CLE,42,32.5%,12976,3250
2021,Austin Riley,ATL,136,38.2%,18360,3820.0000000000005
2022,Austin Riley,ATL,142,38.0%,18360,3800
2022,Austin Slater,SFG,124,41.8%,16153,4180
2021,Austin Slater,SFG,101,40.5%,16153,4050
2021,Avisail Garcia,MIL,116,36.5%,5760,3650
2022,Avisail Garcia,MIA,66,35.3%,5760,3529.9999999999995
2021,Ben Gamel,- - -,100,41.0%,12160,4100
2022,Ben Gamel,PIT,97,36.6%,12160,3660
2021,Bo Bichette,TOR,122,29.9%,19612,2990
2022,Bo Bichette,TOR,129,31.6%,19612,3160
2021,Bobby Dalbec,BOS,106,46.1%,19966,4610
2022,Bobby Dalbec,BOS,80,45.0%,19966,4500
2021,Brandon Crawford,SFG,138,33.7%,5343,3370.0000000000005
2022,Brandon Crawford,SFG,87,31.9%,5343,3190
2021,Brandon Nimmo,NYM,137,36.5%,12927,3650
2022,Brandon Nimmo,NYM,134,30.2%,12927,3020
2021,Brendan Rodgers,COL,99,28.4%,17907,2840
2022,Brendan Rodgers,COL,92,27.5%,17907,2750
2021,Bryan Reynolds,PIT,141,33.7%,19326,3370.0000000000005
2022,Bryan Reynolds,PIT,125,36.5%,19326,3650
2021,Bryce Harper,PHI,170,44.9%,11579,4490
2022,Bryce Harper,PHI,138,35.4%,11579,3540
2021,C.J. Cron,COL,126,37.5%,12546,3750
2022,C.J. Cron,COL,101,37.3%,12546,3729.9999999999995
2021,Carlos Correa,HOU,133,33.9%,14162,3390
2022,Carlos Correa,MIN,140,34.6%,14162,3460
2022,Carlos Santana,- - -,102,35.2%,2396,3520.0000000000005
2021,Carlos Santana,KCR,82,31.4%,2396,3140
2021,Carson Kelly,ARI,103,36.5%,13620,3650
2022,Carson Kelly,ARI,73,30.2%,13620,3020
2021,Cedric Mullins II,BAL,136,31.7%,17929,3170
2022,Cedric Mullins II,BAL,106,28.1%,17929,2810
2021,Cesar Hernandez,- - -,90,33.8%,10556,3379.9999999999995
2022,Cesar Hernandez,WSN,79,25.9%,10556,2590
2021,Charlie Blackmon,COL,93,27.1%,7859,2710
2022,Charlie Blackmon,COL,89,27.2%,7859,2720
2021,Chas McCormick,HOU,108,44.7%,19599,4470
2022,Chas McCormick,HOU,114,40.8%,19599,4079.9999999999995
2021,Chris Taylor,LAD,113,43.0%,13757,4300
2022,Chris Taylor,LAD,93,47.1%,13757,4710
2022,Christian Vazquez,- - -,99,23.5%,9774,2350
2021,Christian Vazquez,BOS,76,24.7%,9774,2470
2022,Christian Walker,ARI,122,35.4%,13419,3540
2021,Christian Walker,ARI,87,34.6%,13419,3460
2022,Christian Yelich,MIL,111,39.3%,11477,3929.9999999999995
2021,Christian Yelich,MIL,102,40.4%,11477,4040
2022,Cody Bellinger,LAD,83,37.6%,15998,3760
2021,Cody Bellinger,LAD,47,38.6%,15998,3860
2021,Corey Seager,LAD,146,31.8%,13624,3180
2022,Corey Seager,TEX,117,29.3%,13624,2930
2022,DJ LeMahieu,NYY,116,27.7%,9874,2770
2021,DJ LeMahieu,NYY,100,26.1%,9874,2610
2022,Dansby Swanson,ATL,116,36.8%,18314,3679.9999999999995
2021,Dansby Swanson,ATL,99,37.7%,18314,3770.0000000000005
2021,Darin Ruf,SFG,143,47.8%,9929,4780
2022,Darin Ruf,- - -,89,41.5%,9929,4150
2022,Daulton Varsho,ARI,106,36.8%,19918,3679.9999999999995
2021,Daulton Varsho,ARI,99,34.3%,19918,3429.9999999999995
2022,David Peralta,- - -,104,34.1%,2136,3410
2021,David Peralta,ARI,94,27.1%,2136,2710
2021,Donovan Solano,SFG,104,26.2%,8623,2620
2022,Donovan Solano,CIN,98,27.6%,8623,2760
2021,Dylan Carlson,STL,113,36.7%,20126,3670.0000000000005
2022,Dylan Carlson,STL,100,30.1%,20126,3010
2021,Eduardo Escobar,- - -,107,33.4%,6153,3340
2022,Eduardo Escobar,NYM,106,34.9%,6153,3490
2021,Elias Diaz,COL,91,29.1%,11680,2910
2022,Elias Diaz,COL,67,30.4%,11680,3040
2022,Elvis Andrus,- - -,105,25.6%,8709,2560
2021,Elvis Andrus,OAK,74,21.3%,8709,2130
2021,Enrique Hernandez,BOS,109,32.6%,10472,3260
2022,Enrique Hernandez,BOS,75,27.6%,10472,2760
2022,Eric Haase,DET,112,38.5%,14111,3850
2021,Eric Haase,DET,101,43.8%,14111,4380
2021,Eric Hosmer,SDP,103,28.1%,3516,2810
2022,Eric Hosmer,- - -,104,26.0%,3516,2600
2022,Eugenio Suarez,SEA,131,47.7%,12552,4770
2021,Eugenio Suarez,CIN,84,44.9%,12552,4490
2022,Francisco Lindor,NYM,127,30.9%,12916,3090
2021,Francisco Lindor,NYM,103,33.2%,12916,3320.0000000000005
2021,Franmil Reyes,CLE,126,47.6%,14566,4760
