"Name","Team","TTO%","wRC+","playerid"
"Aaron Judge","NYY","50.0%","207","15640"
"Yordan Alvarez","HOU","39.4%","185","19556"
"Paul Goldschmidt","STL","39.2%","177","9218"
"Jose Altuve","HOU","30.0%","164","5417"
"Freddie Freeman","LAD","29.2%","157","5361"
"Manny Machado","SDP","35.4%","152","11493"
"Nolan Arenado","STL","24.8%","151","9777"
"Austin Riley","ATL","38.0%","142","18360"
"Juan Soto","- - -","38.9%","145","20123"
"Mookie Betts","LAD","30.4%","144","13611"
"Rafael Devers","BOS","31.1%","140","17350"
"Shohei Ohtani","LAA","40.1%","142","19755"
"Nathaniel Lowe","TEX","34.4%","143","19566"
"Julio Rodriguez","SEA","38.0%","146","23697"
"Yandy Diaz","TBR","26.3%","146","16578"
"Pete Alonso","NYM","34.3%","143","19251"
"Jeff McNeil","NYM","18.7%","143","15362"
"Andres Gimenez","CLE","29.3%","140","19950"
"Xander Bogaerts","BOS","30.1%","134","12161"
"Jose Ramirez","CLE","26.3%","139","13510"
"Carlos Correa","MIN","34.6%","140","14162"
"Taylor Ward","LAA","36.0%","137","17548"
"Jose Abreu","CHW","27.5%","137","15676"
"Alex Bregman","HOU","28.5%","136","17678"
"Starling Marte","NYM","27.5%","136","9241"
"Kyle Schwarber","PHI","49.6%","128","16478"
"J.T. Realmuto","PHI","32.4%","128","11739"
"Brandon Nimmo","NYM","30.2%","134","12927"
"Anthony Rizzo","NYY","34.9%","132","3473"
"George Springer","TOR","30.7%","132","12856"
"Vladimir Guerrero Jr.","TOR","29.2%","132","19611"
"Trea Turner","LAD","27.8%","128","16252"
"Brandon Drury","- - -","33.8%","123","11615"
"Luis Arraez","MIN","16.7%","131","18568"
"Bryan Reynolds","PIT","36.5%","125","19326"
"Will Smith","LAD","30.4%","127","19197"
"Teoscar Hernandez","TOR","39.4%","129","13066"
"Kyle Tucker","HOU","30.2%","129","18345"
"Bo Bichette","TOR","31.6%","129","19612"
"Alejandro Kirk","TOR","25.0%","129","22581"
"Hunter Renfroe","MIL","36.2%","124","15464"
"Christian Walker","ARI","35.4%","122","13419"
"Rhys Hoskins","PHI","40.3%","122","16472"
"Eugenio Suarez","SEA","47.7%","131","12552"
"Matt Olson","ATL","39.9%","120","14344"
"Josh Bell","- - -","30.9%","123","13145"
"Mark Canha","NYM","29.2%","128","11445"
"J.D. Martinez","BOS","35.7%","119","6184"
"Justin Turner","LAD","28.6%","123","5235"
"Andrew Benintendi","- - -","25.7%","122","17901"
"Francisco Lindor","NYM","30.9%","127","12916"
"Steven Kwan","CLE","20.1%","124","24610"
"Ian Happ","CHC","34.9%","120","17919"
"Dansby Swanson","ATL","36.8%","116","18314"
"Ty France","SEA","24.3%","126","17982"
"Anthony Santander","BAL","32.5%","120","14551"
"Randy Arozarena","TBR","34.4%","125","19290"
"Ronald Acuna Jr.","ATL","36.4%","114","18401"
"C.J. Cron","COL","37.3%","101","12546"
"Gio Urshela","MIN","27.2%","119","10681"
"Sean Murphy","OAK","32.4%","122","19352"
"Corey Seager","TEX","29.3%","117","13624"
"Matt Chapman","TOR","42.7%","117","16505"
"DJ LeMahieu","NYY","27.7%","116","9874"
"Gleyber Torres","NYY","33.6%","115","16997"
"Christian Yelich","MIL","39.3%","111","11477"
"Rowdy Tellez","MIL","36.4%","110","15679"
"Andrew Vaughn","CHW","25.9%","113","26197"
"Josh Rojas","ARI","31.8%","108","19734"
"Ryan McMahon","COL","39.9%","95","15112"
"Willy Adames","MIL","39.9%","109","15986"
"Adolis Garcia","TEX","38.1%","112","19287"
"Seth Brown","OAK","40.0%","117","18171"
"Daulton Varsho","ARI","36.8%","106","19918"
"Brendan Rodgers","COL","27.5%","92","17907"
"Jurickson Profar","SDP","29.0%","110","10815"
"Nico Hoerner","CHC","18.4%","106","21479"
"Alex Verdugo","BOS","21.6%","103","17027"
"Jake Cronenworth","SDP","31.9%","109","18036"
"Max Muncy","LAD","44.6%","106","13301"
"Tommy Edman","STL","27.0%","108","19470"
"Thairo Estrada","SFG","25.1%","106","16426"
"Marcus Semien","TEX","27.5%","107","12533"
"Ketel Marte","ARI","30.1%","102","13613"
"Charlie Blackmon","COL","27.2%","89","7859"
"Patrick Wisdom","CHC","48.9%","104","13602"
"Ryan Mountcastle","BAL","36.0%","106","18373"
"Cedric Mullins II","BAL","28.1%","106","17929"
"Randal Grichuk","COL","31.6%","88","10243"
"Austin Hays","BAL","28.2%","105","19363"
"Luis Rengifo","LAA","22.1%","103","19858"
"Ha-seong Kim","SDP","27.8%","105","27506"
"Jesse Winker","SEA","36.7%","108","13590"
"Wilmer Flores","SFG","30.1%","103","5827"
"Trey Mancini","- - -","35.1%","104","15149"
"Luke Voit","- - -","45.1%","102","14811"
"Eduardo Escobar","NYM","34.9%","106","6153"
"Amed Rosario","CLE","21.9%","103","15518"
"Bobby Witt Jr.","KCR","29.3%","99","25764"
"MJ Melendez","KCR","40.3%","99","22197"
"Elvis Andrus","- - -","25.6%","105","8709"
"Alec Bohm","PHI","24.4%","98","21618"
"Jeremy Pena","HOU","32.1%","102","21636"
"Andrew McCutchen","MIL","34.1%","98","9847"
"Kyle Farmer","CIN","25.0%","92","14813"
"Carlos Santana","- - -","35.2%","102","2396"
"Lane Thomas","WSN","34.7%","96","16939"
"Mike Yastrzemski","SFG","39.2%","99","14854"
"J.P. Crawford","SEA","25.5%","104","15491"
"Nick Castellanos","PHI","30.8%","94","11737"
"Tommy Pham","- - -","38.6%","89","2967"
"Josh Donaldson","NYY","39.7%","97","5038"
"Marcell Ozuna","ATL","34.7%","88","10324"
"A.J. Pollock","CHW","27.3%","92","9256"
"Ke'Bryan Hayes","PIT","31.6%","88","18577"
"Whit Merrifield","- - -","24.4%","88","11281"
"Nelson Cruz","WSN","35.1%","85","2434"
"Javier Baez","DET","32.2%","90","12979"
"Jesus Aguilar","- - -","32.1%","86","11342"
"Tony Kemp","OAK","21.7%","91","14894"
"Isiah Kiner-Falefa","NYY","20.9%","85","16512"
"Yuli Gurriel","HOU","19.0%","85","19198"
"Cody Bellinger","LAD","37.6%","83","15998"
"Cesar Hernandez","WSN","25.9%","79","10556"
"Jorge Mateo","BAL","35.1%","82","17273"
"Trent Grisham","SDP","42.7%","83","18564"
"Adam Frazier","SEA","20.3%","81","15223"
"Miguel Rojas","MIA","18.3%","73","7802"
"Myles Straw","CLE","23.7%","64","17620"
"Jonathan Schoop","DET","26.9%","57","11265"
